"Отметка времени","Пол","Возраст","Рано или поздно я собираюсь вступить в брак.","Мне кажется, что вступление в брак сделает меня счастливее.","У меня есть опасения относительно вступления в брак.","В долгосрочной перспективе я бы предпочел (-ла) вступить со своим постоянным партнером в брак, чем просто жить вместе.","В том, чтобы быть неженатым  (незамужней) я вижу больше преимуществ, чем в супружеской жизни.","На данный момент Вы считаете, что брак...","В чем Вы видите ценность брака? Выберите сновные достоинства брака (не более 3-х)."
"2020/04/11 12:23:52 AM GMT+7","Мужской","23","Полностью согласен (-на)","Согласен (-на)","Не согласен (-на)","Согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Получать эмоциональную поддержку;Завести своих детей;Более комфортная, обустроенная жизнь"
"2020/04/11 1:11:24 AM GMT+7","Женский","18","Согласен (-на)","Не согласен (-на)","Не согласен (-на)","Не согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Завести своих детей;Более комфортная, обустроенная жизнь;Жить с человеком, к которому чувствуешь любовь и привязанность"
"2020/04/11 7:00:10 PM GMT+7","Женский","20","Не согласен (-на)","Категорически не согласен (-на)","Согласен (-на)","Не согласен (-на)","Согласен (-на)","не имеет преимуществ","Завести своих детей;Финансовая стабильность"
"2020/04/11 7:56:52 PM GMT+7","Женский","21","Полностью согласен (-на)","Полностью согласен (-на)","Не согласен (-на)","Полностью согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Получать эмоциональную поддержку;Завести своих детей;Сексуальная близость"
"2020/04/11 10:00:45 PM GMT+7","Мужской","20","Согласен (-на)","Не согласен (-на)","Не согласен (-на)","Согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Реализовать ожидания своих родителей или сверстников;Жить с человеком, к которому чувствуешь любовь и привязанность;Независимость от родителей"
"2020/04/12 3:44:39 PM GMT+7","Женский","20","Согласен (-на)","Не согласен (-на)","Не согласен (-на)","Не согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Получать эмоциональную поддержку;Завести своих детей;Сексуальная близость"
"2020/04/12 3:52:35 PM GMT+7","Мужской","20","Полностью согласен (-на)","Согласен (-на)","Согласен (-на)","Полностью согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Получать эмоциональную поддержку;Cоциальное доверие;Жить с человеком, к которому чувствуешь любовь и привязанность"
"2020/04/12 3:56:40 PM GMT+7","Мужской","21","Полностью согласен (-на)","Полностью согласен (-на)","Полностью согласен (-на)","Не согласен (-на)","Полностью согласен (-на)","не имеет преимуществ","Получать эмоциональную поддержку;Более комфортная, обустроенная жизнь;Сексуальная близость"
"2020/04/12 4:10:41 PM GMT+7","Мужской","21","Согласен (-на)","Согласен (-на)","Полностью согласен (-на)","Не согласен (-на)","Полностью согласен (-на)","не имеет преимуществ","Получать эмоциональную поддержку;Завести своих детей;Жить с человеком, к которому чувствуешь любовь и привязанность"
"2020/04/12 6:07:21 PM GMT+7","Мужской","24","Категорически не согласен (-на)","Не согласен (-на)","Не согласен (-на)","Не согласен (-на)","Полностью согласен (-на)","не имеет преимуществ","Получать эмоциональную поддержку"
"2020/04/12 8:04:19 PM GMT+7","Мужской","24","Не согласен (-на)","Согласен (-на)","Согласен (-на)","Полностью согласен (-на)","Категорически не согласен (-на)","имеет определенные преимущества","Получать эмоциональную поддержку;Завести своих детей;Жить с человеком, к которому чувствуешь любовь и привязанность"
"2020/04/12 8:36:10 PM GMT+7","Мужской","23","Согласен (-на)","Согласен (-на)","Согласен (-на)","Согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Получать эмоциональную поддержку;Более комфортная, обустроенная жизнь;Жить с человеком, к которому чувствуешь любовь и привязанность"
